Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF00426	Outer Capsid protein VP4 (Hemagglutinin) Concanavalin-like domain	pfam	domain	IPR000416		
PF00427	Phycobilisome Linker polypeptide	pfam	family	IPR001297		
PF00428	60s Acidic ribosomal protein	pfam	family			
PF00429	ENV polyprotein (coat polyprotein)	pfam	family	IPR018154		
PF00430	ATP synthase B/B' CF(0)	pfam	unknown	IPR002146		
PF00431	CUB domain	pfam	domain	IPR000859		
PF00432	Prenyltransferase and squalene oxidase repeat	pfam	repeat	IPR001330		
PF00433	Protein kinase C terminal domain	pfam	family	IPR017892		
PF00434	Glycoprotein VP7	pfam	family	IPR001963		
PF00435	Spectrin repeat	pfam	domain	IPR002017		
PF00436	Single-strand binding protein family	pfam	domain	IPR000424		
PF00437	Type II/IV secretion system protein	pfam	family	IPR001482		
PF00438	S-adenosylmethionine synthetase, N-terminal domain	pfam	domain	IPR022628		
PF00439	Bromodomain	pfam	domain	IPR001487		
PF00440	Bacterial regulatory proteins, tetR family	pfam	domain	IPR001647		
PF00441	Acyl-CoA dehydrogenase, C-terminal domain	pfam	domain	IPR009075		
PF00443	Ubiquitin carboxyl-terminal hydrolase	pfam	family	IPR001394		
PF00444	Ribosomal protein L36	pfam	domain	IPR000473		
PF00445	Ribonuclease T2 family	pfam	domain	IPR001568		
PF00446	Gonadotropin-releasing hormone	pfam	family	IPR002012		
PF00447	HSF-type DNA-binding	pfam	domain	IPR000232		
PF00448	SRP54-type protein, GTPase domain	pfam	domain	IPR000897		
PF00449	Urease alpha-subunit, N-terminal domain	pfam	domain	IPR011612		
PF00450	Serine carboxypeptidase	pfam	domain	IPR001563		
PF00451	Scorpion short toxin, BmKK2	pfam	domain	IPR001947		
PF00452	Apoptosis regulator proteins, Bcl-2 family	pfam	family	IPR046371		
PF00453	Ribosomal protein L20	pfam	family	IPR005813		
PF00454	Phosphatidylinositol 3- and 4-kinase	pfam	family	IPR000403		
PF00455	DeoR C terminal sensor domain	pfam	domain	IPR014036		
PF00456	Transketolase, thiamine diphosphate binding domain	pfam	domain	IPR005474		
PF00457	Glycosyl hydrolases family 11	pfam	domain	IPR033123		
PF00458	WHEP-TRS domain	pfam	domain	IPR000738		
PF00459	Inositol monophosphatase family	pfam	family	IPR000760		
PF00460	Flagella basal body rod protein	pfam	family	IPR001444		
PF00462	Glutaredoxin	pfam	domain	IPR002109		
PF00463	Isocitrate lyase family	pfam	domain	IPR006254		
PF00464	Serine hydroxymethyltransferase	pfam	domain	IPR039429		
PF00465	Iron-containing alcohol dehydrogenase	pfam	family	IPR001670		
PF00466	Ribosomal protein L10	pfam	family	IPR001790		
PF00467	KOW motif	pfam	family	IPR005824		
PF00468	Ribosomal protein L34	pfam	family	IPR000271		
PF00469	Negative factor, (F-Protein) or Nef	pfam	family	IPR001558		
PF00471	Ribosomal protein L33	pfam	family	IPR001705		
PF00472	RF-1 domain	pfam	family	IPR000352		
PF00473	Corticotropin-releasing factor family	pfam	family	IPR000187		
PF00474	Sodium:solute symporter family	pfam	family	IPR001734		
PF00475	Imidazoleglycerol-phosphate dehydratase	pfam	family	IPR000807		
PF00476	DNA polymerase family A	pfam	family	IPR001098		
PF00477	Small hydrophilic plant seed protein	pfam	unknown	IPR038956		
PF00478	IMP dehydrogenase / GMP reductase domain	pfam	domain	IPR001093		
PF00479	Glucose-6-phosphate dehydrogenase, NAD binding domain	pfam	domain	IPR022674		
PF00480	ROK family	pfam	family	IPR000600		
PF00481	Protein phosphatase 2C	pfam	family	IPR001932		
PF00482	Type II secretion system (T2SS), protein F	pfam	domain	IPR018076		
PF00483	Nucleotidyl transferase	pfam	family	IPR005835		
PF00484	Carbonic anhydrase	pfam	domain	IPR001765		
PF00485	Phosphoribulokinase / Uridine kinase family	pfam	domain	IPR006083		
PF00486	Transcriptional regulatory protein, C terminal	pfam	domain	IPR001867		
PF00487	Fatty acid desaturase	pfam	domain	IPR005804		
PF00488	MutS domain V	pfam	domain	IPR000432		
PF00489	Interleukin-6/G-CSF/MGF family	pfam	domain	IPR003574		
PF00490	Delta-aminolevulinic acid dehydratase	pfam	domain	IPR001731		
PF00491	Arginase family	pfam	domain	IPR006035		
PF00493	MCM P-loop domain	pfam	domain	IPR001208		
PF00494	Squalene/phytoene synthase	pfam	domain	IPR002060		
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	pfam	domain	IPR000914		
PF00497	Bacterial extracellular solute-binding proteins, family 3	pfam	domain	IPR001638		
PF00498	FHA domain	pfam	family	IPR000253		
PF00499	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	pfam	family	IPR001457		
PF00500	L1 (late) protein	pfam	domain	IPR002210		
PF00501	AMP-binding enzyme	pfam	family	IPR000873		
PF00502	Phycobilisome protein	pfam	domain	IPR012128		
PF00503	G-protein alpha subunit	pfam	domain	IPR001019		
PF00504	Chlorophyll A-B binding protein	pfam	family	IPR022796		
PF00505	HMG (high mobility group) box	pfam	domain	IPR009071		
PF00506	Influenza virus nucleoprotein	pfam	family	IPR002141		
PF00507	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3	pfam	family	IPR000440		
PF00508	E2 (early) protein, N terminal	pfam	family	IPR001866		
PF00509	Haemagglutinin	pfam	family	IPR001364		
PF00510	Cytochrome c oxidase subunit III	pfam	family	IPR000298		
PF00511	E2 (early) protein, C terminal	pfam	domain	IPR000427		
PF00512	His Kinase A (phospho-acceptor) domain	pfam	domain	IPR003661		
PF00513	Late Protein L2	pfam	family	IPR000784		
PF00514	Armadillo/beta-catenin-like repeat	pfam	repeat	IPR000225		
PF00515	Tetratricopeptide repeat	pfam	repeat	IPR001440		
PF00516	Envelope glycoprotein GP120	pfam	family	IPR000777		
PF00517	Retroviral envelope protein	pfam	family	IPR000328		
PF00518	Early Protein (E6)	pfam	family	IPR001334		
PF00519	Papillomavirus helicase	pfam	domain	IPR001177		
PF00520	Ion transport protein	pfam	family	IPR005821		
PF00521	DNA gyrase/topoisomerase IV, subunit A	pfam	family	IPR002205		
PF00522	VPR/VPX protein	pfam	family	IPR000012		
PF00523	Fusion glycoprotein F0	pfam	family	IPR000776		
PF00524	E1 Protein, N terminal domain	pfam	family	IPR014000		
PF00525	Alpha crystallin A chain, N terminal	pfam	family	IPR003090		
PF00526	Dictyostelium (slime mold) repeat	pfam	repeat	IPR001673		
PF00527	E7 protein, Early protein	pfam	family	IPR000148		
PF00528	Binding-protein-dependent transport system inner membrane component	pfam	family	IPR000515		
PF00529	Cation efflux system protein CusB domain 1	pfam	family	IPR043602		
PF00530	Scavenger receptor cysteine-rich domain	pfam	domain	IPR001190		
PF00531	Death domain	pfam	domain	IPR000488		
PF00532	Periplasmic binding proteins and sugar binding domain of LacI family	pfam	domain	IPR001761		
PF00533	BRCA1 C Terminus (BRCT) domain	pfam	family	IPR001357		
PF00534	Glycosyl transferases group 1	pfam	family	IPR001296		
PF00535	Glycosyl transferase family 2	pfam	family	IPR001173		
PF00536	SAM domain (Sterile alpha motif)	pfam	domain	IPR001660		
PF00537	Scorpion toxin-like domain	pfam	domain	IPR002061		
PF00538	linker histone H1 and H5 family	pfam	domain	IPR005818		
PF00539	Transactivating regulatory protein (Tat)	pfam	family	IPR001831		
PF00540	gag gene protein p17 (matrix protein)	pfam	domain	IPR000071		
PF00541	Adenoviral fibre protein (knob domain)	pfam	domain	IPR000978		
PF00542	Ribosomal protein L7/L12 C-terminal domain	pfam	domain	IPR013823		
PF00543	Nitrogen regulatory protein P-II	pfam	domain	IPR002187		
PF00544	Pectate lyase	pfam	repeat	IPR002022		
PF00545	ribonuclease	pfam	domain	IPR000026		
PF00547	Urease, gamma subunit	pfam	domain	IPR002026		
PF00548	3C cysteine protease (picornain 3C)	pfam	family	IPR000199		
PF00549	CoA-ligase	pfam	domain	IPR005811		
PF00550	Phosphopantetheine attachment site	pfam	domain	IPR009081		
PF00551	Formyl transferase	pfam	domain	IPR002376		
PF00552	Integrase DNA binding domain	pfam	domain	IPR001037		
PF00553	Cellulose binding domain	pfam	domain	IPR001919		
PF00554	Rel homology DNA-binding domain	pfam	domain	IPR011539		
PF00555	delta endotoxin	pfam	repeat	IPR001178		
PF00556	Antenna complex alpha/beta subunit	pfam	domain	IPR000066		
PF00557	Metallopeptidase family M24	pfam	domain	IPR000994		
PF00558	Vpu protein	pfam	domain	IPR008187		
PF00559	Retroviral Vif (Viral infectivity) protein	pfam	family	IPR000475		
PF00560	Leucine Rich Repeat	pfam	repeat	IPR001611		
PF00561	alpha/beta hydrolase fold	pfam	domain	IPR000073		
PF00562	RNA polymerase Rpb2, domain 6	pfam	domain	IPR007120		
PF00563	EAL domain	pfam	domain	IPR001633		
PF00564	PB1 domain	pfam	domain	IPR000270		
PF00565	Staphylococcal nuclease homologue	pfam	domain	IPR016071		
PF00566	Rab-GTPase-TBC domain	pfam	family	IPR000195		
PF00567	Tudor domain	pfam	domain	IPR002999		
PF00568	WH1 domain	pfam	domain	IPR000697		
PF00569	Zinc finger, ZZ type	pfam	domain	IPR000433		
PF00570	HRDC domain	pfam	domain	IPR002121		
PF00571	CBS domain	pfam	domain	IPR000644		
PF00572	Ribosomal protein L13	pfam	family	IPR005822		
PF00573	Ribosomal protein L4/L1 family	pfam	family	IPR002136		
PF00574	Clp protease	pfam	domain	IPR023562		
PF00575	S1 RNA binding domain	pfam	domain	IPR003029		
PF00576	HIUase/Transthyretin family	pfam	domain	IPR023416		
PF00577	Outer membrane usher protein	pfam	family	IPR000015		
PF00578	AhpC/TSA family	pfam	domain	IPR000866		
PF00579	tRNA synthetases class I (W and Y)	pfam	family	IPR002305		
PF00580	UvrD/REP helicase N-terminal domain	pfam	domain	IPR014016		
PF00581	Rhodanese-like domain	pfam	domain	IPR001763		
PF00582	Universal stress protein family	pfam	domain	IPR006016		
PF00583	Acetyltransferase (GNAT) family	pfam	family	IPR000182		
PF00584	SecE/Sec61-gamma subunits of protein translocation complex	pfam	family	IPR001901		
PF00585	C-terminal regulatory domain of Threonine dehydratase	pfam	domain	IPR001721		
PF00586	AIR synthase related protein, N-terminal domain	pfam	domain	IPR016188		
PF00587	tRNA synthetase class II core domain (G, H, P, S and T)	pfam	domain	IPR002314		
PF00588	SpoU rRNA Methylase family	pfam	family	IPR001537		
PF00589	Phage integrase family	pfam	family	IPR002104		
PF00590	Tetrapyrrole (Corrin/Porphyrin) Methylases	pfam	domain	IPR000878		
PF00591	Glycosyl transferase family, a/b domain	pfam	family	IPR000312		
PF00593	TonB dependent receptor	pfam	family	IPR000531		
PF00594	Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain	pfam	domain	IPR000294		
PF00595	PDZ domain	pfam	domain	IPR001478		
PF00596	Class II Aldolase and Adducin N-terminal domain	pfam	domain	IPR001303		
PF00598	Influenza Matrix protein (M1)	pfam	domain	IPR001561		
PF00599	Influenza Matrix protein (M2)	pfam	family	IPR002089		
PF00600	Influenza non-structural protein (NS1)	pfam	family	IPR000256		
PF00601	Influenza non-structural protein (NS2)	pfam	family	IPR000968		
PF00602	Influenza RNA-dependent RNA polymerase subunit PB1	pfam	family	IPR001407		
PF00603	Influenza RNA-dependent RNA polymerase subunit PA	pfam	family	IPR001009		
PF00604	Influenza RNA-dependent RNA polymerase subunit PB2	pfam	family	IPR001591		
PF00605	Interferon regulatory factor transcription factor	pfam	domain	IPR001346		
PF00606	Herpesvirus Glycoprotein B ectodomain	pfam	domain			
PF00607	gag protein p24 N-terminal domain	pfam	domain	IPR000721		
PF00608	Adenoviral fibre protein (repeat/shaft region)	pfam	repeat	IPR000939		
PF00609	Diacylglycerol kinase accessory domain	pfam	family	IPR000756		
PF00610	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)	pfam	domain	IPR000591		
PF00611	Fes/CIP4, and EFC/F-BAR homology domain	pfam	family	IPR001060		
PF00612	IQ calmodulin-binding motif	pfam	conserved_site	IPR000048		
PF00613	Phosphoinositide 3-kinase family, accessory domain (PIK domain)	pfam	repeat	IPR001263		
PF00614	Phospholipase D Active site motif	pfam	family	IPR001736		
PF00615	Regulator of G protein signaling domain	pfam	domain	IPR016137		
PF00616	GTPase-activator protein for Ras-like GTPase	pfam	family	IPR001936		
PF00617	RasGEF domain	pfam	family	IPR001895		
PF00618	RasGEF N-terminal motif	pfam	domain	IPR000651		
PF00619	Caspase recruitment domain	pfam	domain	IPR001315		
PF00620	RhoGAP domain	pfam	domain	IPR000198		
PF00621	RhoGEF domain	pfam	domain	IPR000219		
PF00622	SPRY domain	pfam	family	IPR003877		
PF00623	RNA polymerase Rpb1, domain 2	pfam	domain	IPR000722		
PF00624	Flocculin repeat	pfam	repeat	IPR001389		
PF00625	Guanylate kinase	pfam	domain	IPR008145		
PF00626	Gelsolin repeat	pfam	domain	IPR007123		
PF00627	UBA/TS-N domain	pfam	domain	IPR015940		
PF00628	PHD-finger	pfam	domain	IPR019787		
PF00629	MAM domain, meprin/A5/mu	pfam	domain	IPR000998		
PF00630	Filamin/ABP280 repeat	pfam	domain	IPR017868		
PF00631	GGL domain	pfam	domain	IPR015898		
PF00632	HECT-domain (ubiquitin-transferase)	pfam	domain	IPR000569		
PF00633	Helix-hairpin-helix motif	pfam	conserved_site	IPR000445		
PF00634	BRCA2 repeat	pfam	family	IPR002093		
PF00635	MSP (Major sperm protein) domain	pfam	domain	IPR000535		
PF00636	Ribonuclease III domain	pfam	family	IPR000999		
PF00637	Region in Clathrin and VPS	pfam	repeat	IPR000547		
PF00638	RanBP1 domain	pfam	domain	IPR000156		
PF00639	PPIC-type PPIASE domain	pfam	domain	IPR000297		
PF00640	Phosphotyrosine interaction domain (PTB/PID)	pfam	domain	IPR006020		
PF00641	Zn-finger in Ran binding protein and others	pfam	domain	IPR001876		
PF00642	Zinc finger C-x8-C-x5-C-x3-H type (and similar)	pfam	family	IPR000571		
PF00643	B-box zinc finger	pfam	domain	IPR000315		
PF00644	Poly(ADP-ribose) polymerase catalytic domain	pfam	family	IPR012317		
PF00645	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region	pfam	domain	IPR001510		
PF00646	F-box domain	pfam	domain	IPR001810		
PF00647	Elongation factor 1 gamma, conserved domain	pfam	domain	IPR001662		
PF00648	Calpain family cysteine protease	pfam	family	IPR001300		
PF00649	Copper fist DNA binding domain	pfam	domain	IPR001083		
PF00650	CRAL/TRIO domain	pfam	domain	IPR001251		
PF00651	BTB/POZ domain	pfam	domain	IPR000210		
PF00652	Ricin-type beta-trefoil lectin domain	pfam	domain	IPR000772		
PF00653	Inhibitor of Apoptosis domain	pfam	domain	IPR001370		
PF00654	Voltage gated chloride channel	pfam	family	IPR001807		
PF00656	Caspase domain	pfam	domain	IPR011600		
PF00657	GDSL-like Lipase/Acylhydrolase	pfam	family	IPR001087		
PF00658	Poly-adenylate binding protein, unique domain	pfam	family	IPR002004		
PF00659	POLO box duplicated region	pfam	family	IPR000959		
PF00660	Seripauperin and TIP1 family	pfam	family	IPR000992		
PF00661	Viral matrix protein	pfam	family	IPR000982		
PF00662	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	pfam	family	IPR001516		
PF00664	ABC transporter transmembrane region	pfam	family	IPR011527		
PF00665	Integrase core domain	pfam	domain	IPR001584		
PF00666	Cathelicidin	pfam	domain			
PF00667	FAD binding domain	pfam	domain	IPR003097		
PF00668	Condensation domain	pfam	family	IPR001242		
PF00669	Bacterial flagellin N-terminal helical region	pfam	family	IPR001029		
PF00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	pfam	domain	IPR015878		
PF00672	HAMP domain	pfam	domain	IPR003660		
PF00673	ribosomal L5P family C-terminus	pfam	domain	IPR031309		
PF00674	DUP family	pfam	family	IPR001142		
PF00675	Insulinase (Peptidase family M16)	pfam	family	IPR011765		
PF00676	Dehydrogenase E1 component	pfam	family	IPR001017		
PF00677	Lumazine binding domain	pfam	domain	IPR026017		
PF00679	Elongation factor G C-terminus	pfam	domain	IPR000640		
PF00680	Viral RNA-dependent RNA polymerase	pfam	family	IPR001205		
PF00681	Plectin repeat	pfam	repeat	IPR001101		
PF00682	HMGL-like	pfam	domain	IPR000891		
PF00683	TB domain	pfam	family	IPR017878		
PF00684	DnaJ central domain	pfam	domain	IPR001305		
PF00685	Sulfotransferase domain	pfam	domain	IPR000863		
PF00686	Starch binding domain	pfam	family	IPR002044		
PF00687	Ribosomal protein L1p/L10e family	pfam	domain	IPR028364		
PF00688	TGF-beta propeptide	pfam	family	IPR001111		
PF00689	Cation transporting ATPase, C-terminus	pfam	family	IPR006068		
PF00690	Cation transporter/ATPase, N-terminus	pfam	domain	IPR004014		
PF00691	OmpA family	pfam	family	IPR006665		
PF00692	dUTPase	pfam	domain	IPR029054		
PF00693	Thymidine kinase from herpesvirus	pfam	domain	IPR001889		
PF00694	Aconitase C-terminal domain	pfam	domain	IPR000573		
PF00695	Major surface antigen from hepadnavirus	pfam	family	IPR000349		
PF00696	Amino acid kinase family	pfam	family	IPR001048		
PF00697	N-(5'phosphoribosyl)anthranilate (PRA) isomerase	pfam	domain	IPR001240		
PF00698	Acyl transferase domain	pfam	domain	IPR014043		
PF00699	Urease beta subunit	pfam	domain	IPR002019		
PF00700	Bacterial flagellin C-terminal helical region	pfam	family	IPR046358		
PF00701	Dihydrodipicolinate synthetase family	pfam	domain	IPR002220		
PF00702	haloacid dehalogenase-like hydrolase	pfam	domain			
PF00703	Glycosyl hydrolases family 2	pfam	domain	IPR006102		
PF00704	Glycosyl hydrolases family 18	pfam	domain	IPR001223		
PF00705	Proliferating cell nuclear antigen, N-terminal domain	pfam	domain	IPR022648		
PF00706	Anenome neurotoxin	pfam	domain			
PF00707	Translation initiation factor IF-3, C-terminal domain	pfam	domain	IPR019815		
PF00708	Acylphosphatase	pfam	domain	IPR001792		
PF00709	Adenylosuccinate synthetase	pfam	domain	IPR001114		
PF00710	Asparaginase, N-terminal	pfam	domain	IPR027474		
PF00711	Beta defensin	pfam	domain	IPR001855		
PF00712	DNA polymerase III beta subunit, N-terminal domain	pfam	domain	IPR022634		
PF00713	Hirudin	pfam	domain	IPR000429		
PF00714	Interferon gamma	pfam	domain	IPR002069		
PF00715	Interleukin 2	pfam	domain	IPR000779		
PF00716	Assemblin (Peptidase family S21)	pfam	family	IPR001847		
PF00717	Peptidase S24-like	pfam	domain	IPR015927		
PF00718	Polyomavirus coat protein	pfam	domain	IPR000662		
PF00719	Inorganic pyrophosphatase	pfam	domain	IPR008162		
PF00720	Subtilisin inhibitor-like	pfam	domain	IPR023549		
PF00721	Virus coat protein (TMV like)	pfam	domain	IPR001337		
PF00722	Glycosyl hydrolases family 16	pfam	domain	IPR000757		
PF00723	Glycosyl hydrolases family 15	pfam	repeat	IPR011613		
PF00724	NADH:flavin oxidoreductase / NADH oxidase family	pfam	domain	IPR001155		
PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	pfam	domain	IPR006108		
PF00726	Interleukin 10	pfam	domain	IPR020443		
PF00727	Interleukin 4	pfam	domain	IPR002354		
PF00728	Glycosyl hydrolase family 20, catalytic domain	pfam	domain	IPR015883		
PF00729	Viral coat protein (S domain)	pfam	domain	IPR000937		
PF00730	HhH-GPD superfamily base excision DNA repair protein	pfam	domain	IPR003265		
PF00731	AIR carboxylase	pfam	domain	IPR000031		
PF00732	GMC oxidoreductase	pfam	domain	IPR000172		
PF00733	Asparagine synthase	pfam	domain	IPR001962		
PF00734	Fungal cellulose binding domain	pfam	domain	IPR000254		
PF00735	Septin	pfam	domain	IPR030379		
PF00736	EF-1 guanine nucleotide exchange domain	pfam	domain	IPR014038		
PF00737	Photosystem II 10 kDa phosphoprotein	pfam	family	IPR001056		
PF00738	Polyhedrin	pfam	family	IPR001746		
PF00739	Trans-activation protein X	pfam	family	IPR000236		
PF00740	Parvovirus coat protein VP2	pfam	family	IPR001403		
PF00741	Gas vesicle protein	pfam	family	IPR000638		
PF00742	Homoserine dehydrogenase	pfam	domain	IPR001342		
PF00743	Flavin-binding monooxygenase-like	pfam	family	IPR020946		
PF00745	Glutamyl-tRNAGlu reductase, dimerisation domain	pfam	domain	IPR015896		
